,time,is_weekend,origin,destination,online,prediction,gx,lsl,zyb
112216417,2019-04-12 16:32:52,0,蒲江站东侧,怡蓉商务宾馆,花样年·花样城,花样年·花样城, 花样年·花样城,,花样年·花样城
113065611,2019-04-10 18:28:24,0,企鹅生活馆,合能璞丽,合能璞丽,合能璞丽, 合能璞丽,合能璞丽,
113315932,2019-04-06 14:23:10,1,汇源北路站-公交站路西,翡翠城5期,翡翠城5期,锦绣森邻, 锦绣森邻,西花汀西区-东南门,
115057457,2019-03-20 07:04:42,0,西姆漫居酒店-东北门,成都站(南进站口),成都站(南进站口),新华宾馆, 新华宾馆,,新华宾馆
117522224,2019-04-14 16:46:09,1,ICON·大源国际中心二期3幢-上车点,锦城湖2号湖区,成都世纪城假日酒店-东楼,耍酒馆(二街店),,成都世纪城假日酒店-东楼 , 耍酒馆(二街店)
152411836416,2019-04-11 19:33:24,0,西部智谷D区-2号门,龙爪堰-地铁站,龙爪堰-地铁站,中华名园三期D区, 武新花园小区,,大合仓星商界
486447783936,2019-04-13 19:02:15,1,橙郡一期-1号门,攀钢苑,攀钢苑,攀钢苑, 攀钢苑,攀钢苑,
579737223169,2019-04-16 04:30:33,0,凤凰栖(东南门),清淳家园3区,清淳家园3区,清淳家园3区, 清淳家园3区,清淳家园3区,
649814024193,2019-04-10 15:04:22,0,好利来(外双楠店),锦里,摩尔新世纪(丁字街),伊藤洋华堂(双楠店), 伊藤洋华堂(双楠店),,伊藤洋华堂(双楠店)
762412994561,2019-04-15 13:37:08,0,景茂·雍水岸-东2门,华兴地铁站-C口,蓝光圣菲TOWN城1号门,蓝光圣菲TOWN城1号门, 兴业银行(锦江支行),魔腾网咖北侧,
797011087360,2019-03-18 09:36:04,0,长城宾馆(火车站店),成都双流国际机场,成都首座万丽酒店,长城宾馆(火车站店),,成都首座万丽酒店 ,成都首座万丽酒店
806312480769,2019-04-15 22:48:52,0,唯爱花屋(11店),洲际·春天广场,洲际·春天广场,洲际·春天广场, 洲际·春天广场,洲际·春天广场,
870542348288,2019-04-15 12:16:22,0,蜀儿郎鲜牛肉串串(蜀汉路店),阳公桥站-公交站,阳公桥站-公交站,林湾摩尔购物中心,,成都上锦南府医院华西上锦分院 ,成都上锦南府医院华西上锦分院
870624002048,2019-04-16 18:06:19,0,农业银行,嘎嘎鸭脑壳(草堂社区店),嘎嘎鸭脑壳(草堂社区店),鸡毛店(双楠店), 鸡毛店(双楠店),,赛家酒店-西北门
880392540163,2019-03-21 08:42:35,0,万隆花园-东北门,成都双流国际机场T2航站楼,成都金牛万达广场,成都金牛万达广场, 成都金牛万达广场,,成都金牛万达广场
898849968130,2019-04-16 17:26:53,0,郫县人民政府-西门,百伦广场(郫都店),百伦广场(郫都店),百伦广场(郫都店), 百伦广场(郫都店),,百伦广场(郫都店)
920725487617,2019-04-12 17:12:22,0,南城都汇4期-3号门,天合凯旋南城,融城理想,天合凯旋南城,,天合凯旋南城 ,天合凯旋南城
921619595264,2019-04-16 08:00:39,0,澳洲湾广场站-公交站,安美得时尚男装,安美得时尚男装,澳洲湾, 家乐福(新都店),,桂湖中路119号
922698784769,2019-04-10 18:03:52,0,中国银行(成都蜀都大道支行)-上车点,伊藤洋华堂(双楠店),杜甫加油站,成都市第三人民医院, 伊藤洋华堂(双楠店),,伊藤洋华堂(双楠店)
